rubro,motivo,vulnerabilidad,mes_año_tratamiento,edad,genero,provincia_consumidor,provincia_id
Servicios financieros y seguros,Incumplimiento total de la prestación del servicio contratado,Adulto/a mayor,may-21,75,Femenino,Ciudad Autónoma de Buenos Aires,2
Rodados automotores y embarcaciones,Problemas Planes de Ahorro Previo para Fines Determinados,Socio-económica,may-21,37,Femenino,San Juan,70
Farmacia y productos para la salud,Problemas de fraude o estafa,Adulto/a mayor,may-21,76,Femenino,San Luis,74
Servicios turísticos,Falta de procesamiento de baja del servicio,Adulto/a mayor,may-21,72,Femenino,Ciudad Autónoma de Buenos Aires,2
Servicios financieros y seguros,Cumplimiento parcial o defectuoso de la prestación del servicio,Socio-económica,may-21,66,Masculino,Chaco,22
Servicios de comunicaciones,Existencia de clausulas abusivas.,Discapacidad,may-21,61,Masculino,Ciudad Autónoma de Buenos Aires,2
Artículos de lectura y audiovisuales,Falta de procesamiento de baja de la suscripción,Adulto/a mayor,may-21,78,Femenino,Córdoba,14
Alimentos y bebidas,Incumplimiento de Oferta Promociones y/o Bonificaciones. Art. 7 de la Ley 24.240,Adulto/a mayor,may-21,76,Femenino,Santa Fe,82
Servicios de comunicaciones,Cumplimiento parcial o defectuoso de la prestación del servicio,Adulto/a mayor,may-21,81,Femenino,Ciudad Autónoma de Buenos Aires,2
Servicios financieros y seguros,Cumplimiento parcial o defectuoso de la prestación del servicio,Adulto/a mayor,may-21,71,Masculino,Misiones,54
Servicios de Seguridad,Prácticas Abusivas,Discapacidad,may-21,57,Masculino,Ciudad Autónoma de Buenos Aires,2
Servicios de Salud,Negativa o falta de cobertura total de la prestación comprometida,Salud,may-21,33,Femenino,Ciudad Autónoma de Buenos Aires,2
Servicios de comunicaciones,Cumplimiento parcial o defectuoso de la prestación del servicio,Discapacidad,may-21,63,Femenino,Ciudad Autónoma de Buenos Aires,2
Equipos de telefonía,Falta de Entrega del bien,Salud,may-21,35,Femenino,Ciudad Autónoma de Buenos Aires,2
Servicios financieros y seguros,Cumplimiento parcial o defectuoso de la prestación del servicio,Adulto/a mayor,may-21,67,Masculino,Ciudad Autónoma de Buenos Aires,2
Colchonerías,Entrega Defectuosa,Discapacidad,may-21,46,Femenino,Jujuy,38
Informática,Incumplimiento de Oferta Promociones y/o Bonificaciones. Art. 7 de la Ley 24.240,Socio-económica,may-21,38,Masculino,Santa Fe,82
Servicios financieros y seguros,Problemas de fraude o estafa,Adulto/a mayor,may-21,77,Femenino,Ciudad Autónoma de Buenos Aires,2
Servicios financieros y seguros,Cumplimiento parcial o defectuoso de la prestación del servicio,Adulto/a mayor,may-21,53,Femenino,Chaco,22
Servicios financieros y seguros,Clausulas Abusivas - Art. 37 Ley 24.240,Adulto/a mayor,may-21,76,Femenino,Santa Fe,82
Servicios financieros y seguros,Clausulas Abusivas - Art. 37 Ley 24.240,Adulto/a mayor,may-21,36,Femenino,Córdoba,14
Servicios turísticos,Incumplimiento total de la prestación del servicio contratado,NNyA,may-21,43,Femenino,Córdoba,14
Servicios de Salud,Demora excesiva para el cumplimiento  de prestaciones médicas,Salud,may-21,60,Masculino,Ciudad Autónoma de Buenos Aires,2
Servicios financieros y seguros,Problemas de fraude o estafa,Socio-económica,may-21,42,Femenino,Buenos Aires,6
Servicios de comunicaciones,Cumplimiento parcial o defectuoso de la prestación del servicio,Socio-económica,may-21,33,Femenino,Ciudad Autónoma de Buenos Aires,2
Servicios de comunicaciones,Incumplimiento total de la prestación del servicio contratado,Socio-económica,may-21,29,Masculino,Ciudad Autónoma de Buenos Aires,2
Servicios turísticos,Cumplimiento parcial o defectuoso de la prestación del servicio,Turista,may-21,28,Masculino,Buenos Aires,6
Servicios públicos domiciliarios,Precios,Socio-económica,may-21,59,Femenino,Buenos Aires,6
Servicios financieros y seguros,Incumplimiento total de la prestación del servicio contratado,Adulto/a mayor,may-21,77,Femenino,Buenos Aires,6
Servicios de Salud,Negativa o falta de cobertura total de la prestación comprometida,Salud,may-21,39,Masculino,Ciudad Autónoma de Buenos Aires,2
Servicios financieros y seguros,Cumplimiento parcial o defectuoso de la prestación del servicio,Socio-económica,may-21,38,Masculino,Santa Fe,82
Servicios turísticos,Falta de procesamiento de baja del servicio,Socio-económica,may-21,42,Femenino,Buenos Aires,6
Servicios de comunicaciones,Cumplimiento parcial o defectuoso de la prestación del servicio,Socio-económica,may-21,38,Femenino,Neuquén,58
Servicios de Salud,Negativa o falta de cobertura total de la prestación comprometida,Salud,may-21,35,Femenino,Córdoba,14
Servicios de comunicaciones,Incumplimiento total de la prestación del servicio contratado,Socio-económica,may-21,41,Masculino,Salta,66
Servicios de comunicaciones,Cumplimiento parcial o defectuoso de la prestación del servicio,Adulto/a mayor,may-21,75,Femenino,Ciudad Autónoma de Buenos Aires,2
Servicios públicos domiciliarios,Cumplimiento parcial o defectuoso de la prestación del servicio,Adulto/a mayor,may-21,72,Masculino,Ciudad Autónoma de Buenos Aires,2
Servicios de comunicaciones,Cumplimiento parcial o defectuoso de la prestación del servicio,Adulto/a mayor,may-21,62,Masculino,Ciudad Autónoma de Buenos Aires,2
Servicios financieros y seguros,Cumplimiento parcial o defectuoso de la prestación del servicio,Socio-económica,may-21,31,Masculino,Chaco,22
Servicios de comunicaciones,Cumplimiento parcial o defectuoso de la prestación del servicio,Adulto/a mayor,may-21,60,Femenino,Río Negro,62
Servicios financieros y seguros,Cumplimiento parcial o defectuoso de la prestación del servicio,Socio-económica,may-21,47,Femenino,Buenos Aires,6
Servicios de Salud,Incumplimiento de Oferta Promociones y/o Bonificaciones. Art. 7 de la Ley 24.240,Salud,may-21,97,Femenino,Ciudad Autónoma de Buenos Aires,2
Servicios públicos domiciliarios,Cumplimiento parcial o defectuoso de la prestación del servicio,Socio-económica,may-21,80,Femenino,Buenos Aires,6
Servicios de Salud,Negativa o falta de cobertura total de la prestación comprometida,Salud,may-21,46,Femenino,Ciudad Autónoma de Buenos Aires,2
Servicios de comunicaciones,Incumplimiento de Oferta Promociones y/o Bonificaciones. Art. 7 de la Ley 24.240,Adulto/a mayor,may-21,64,Femenino,Ciudad Autónoma de Buenos Aires,2
Servicios financieros y seguros,Problemas de fraude o estafa,Discapacidad,jun-21,57,Femenino,Ciudad Autónoma de Buenos Aires,2
Servicios públicos domiciliarios,Incumplimiento total de la prestación del servicio,Adulto/a mayor,jun-21,71,Femenino,Ciudad Autónoma de Buenos Aires,2
Servicios públicos domiciliarios,Cumplimiento parcial o defectuoso de la prestación del servicio,NNyA,jun-21,36,Masculino,Ciudad Autónoma de Buenos Aires,2
Servicio de administración de pagos,Cumplimiento parcial o defectuoso de la prestación del servicio,Adulto/a mayor,jun-21,83,Masculino,Mendoza,50
Servicios de Salud,Negativa o falta de cobertura total de la prestación comprometida,Salud,jun-21,38,Femenino,Ciudad Autónoma de Buenos Aires,2
Servicios financieros y seguros,Cumplimiento parcial o defectuoso de la prestación del servicio,Discapacidad,jun-21,39,Femenino,Córdoba,14
Servicios de comunicaciones,Cumplimiento parcial o defectuoso de la prestación del servicio,Adulto/a mayor,jun-21,80,Femenino,Ciudad Autónoma de Buenos Aires,2
Servicios financieros y seguros,Cumplimiento parcial o defectuoso de la prestación del servicio,Adulto/a mayor,jun-21,67,Femenino,Ciudad Autónoma de Buenos Aires,2
Servicios de Salud,Negativa o falta de cobertura total de la prestación comprometida,LGTB+,jun-21,21,Femenino,Ciudad Autónoma de Buenos Aires,2
Inmuebles Inmuebles por accesión,Falta de entrega o demora en la posesión o escrituración del bien,Discapacidad,jun-21,62,Masculino,Santa Fe,82
Servicios financieros y seguros,Cumplimiento parcial o defectuoso de la prestación del servicio,Adulto/a mayor,jun-21,50,Femenino,Santa Fe,82
Servicios de Salud,Falta de Información relevante. Art 4 de la Ley 24.240,Salud,jun-21,49,Masculino,Córdoba,14
Servicios de Salud,Negativa o falta de cobertura total de la prestación comprometida,Salud,jun-21,34,Femenino,Córdoba,14
Servicios de comunicaciones,Incumplimiento total de la prestación del servicio contratado,Adulto/a mayor,jun-21,70,Femenino,Chubut,26
Servicios financieros y seguros,Problemas de fraude o estafa,Adulto/a mayor,jun-21,69,Masculino,Ciudad Autónoma de Buenos Aires,2
Rodados automotores y embarcaciones,Problemas Planes de Ahorro Previo para Fines Determinados,Discapacidad,jun-21,69,Masculino,Ciudad Autónoma de Buenos Aires,2
Servicios financieros y seguros,Cumplimiento parcial o defectuoso de la prestación del servicio,Adulto/a mayor,jun-21,41,Femenino,Ciudad Autónoma de Buenos Aires,2
Electrodomésticos y artefactos para el hogar,Garantía de Bienes. Art 11 Ley 24.240,Socio-económica,jun-21,44,Femenino,Ciudad Autónoma de Buenos Aires,2
Servicios de transporte aéreo,Extravío o hurto de mercaderías transportadas,Turista,jun-21,65,Femenino,Ciudad Autónoma de Buenos Aires,2
Juegos y juguetes,Problemas de fraude o estafa,Socio-económica,jun-21,40,Femenino,Buenos Aires,6
Equipos de telefonía,Garantía de Bienes. Art 11 Ley 24.240,Socio-económica,jun-21,38,Femenino,Ciudad Autónoma de Buenos Aires,2
Servicios turísticos,Clausulas Abusivas - Art. 37 Ley 24.240,Adulto/a mayor,jun-21,74,Masculino,Ciudad Autónoma de Buenos Aires,2
Servicios financieros y seguros,Información Indebida a Banco de Datos de Riesgo Crediticio,Discapacidad,jun-21,65,Femenino,Ciudad Autónoma de Buenos Aires,2
Servicios de Salud,Demora excesiva para el cumplimiento  de prestaciones médicas,Discapacidad,jun-21,74,Femenino,Buenos Aires,6
Servicios turísticos,Cumplimiento parcial o defectuoso de la prestación del servicio,NNyA,jun-21,19,Femenino,Salta,66
Servicios de gestoría y consultoría,Prácticas Abusivas,Adulto/a mayor,jun-21,74,Masculino,Ciudad Autónoma de Buenos Aires,2
Artículos de lectura y audiovisuales,Falta de procesamiento de baja de la suscripción,Adulto/a mayor,jun-21,42,Femenino,Ciudad Autónoma de Buenos Aires,2
Servicios públicos domiciliarios,Cumplimiento parcial o defectuoso de la prestación del servicio,Socio-económica,jun-21,46,Masculino,Ciudad Autónoma de Buenos Aires,2
Servicios públicos domiciliarios,Incumplimiento total de la prestación del servicio,Socio-económica,jun-21,49,Femenino,Ciudad Autónoma de Buenos Aires,2
Servicios financieros y seguros,Prácticas Abusivas,LGTB+,jun-21,30,Masculino,Ciudad Autónoma de Buenos Aires,2
Servicios financieros y seguros,Problemas de fraude o estafa,Adulto/a mayor,jun-21,76,Femenino,Buenos Aires,6
Servicios financieros y seguros,Cumplimiento parcial o defectuoso de la prestación del servicio,Socio-económica,jun-21,33,Femenino,Santa Fe,82
Servicios de Salud,Cumplimiento parcial o defectuoso de la prestación médica o de cobertura de la medicación prescripta,Adulto/a mayor,jun-21,54,Femenino,Buenos Aires,6
Servicios de Salud,Cumplimiento parcial o defectuoso de la prestación médica o de cobertura de la medicación prescripta,Salud,jun-21,84,Femenino,Ciudad Autónoma de Buenos Aires,2
Servicios financieros y seguros,Cumplimiento parcial o defectuoso de la prestación del servicio,Socio-económica,jun-21,35,Femenino,Corrientes,18
Servicios financieros y seguros,Problemas de fraude o estafa,Socio-económica,jun-21,39,Femenino,Buenos Aires,6
Servicios de comunicaciones,Cumplimiento parcial o defectuoso de la prestación del servicio,Adulto/a mayor,jun-21,69,Femenino,Córdoba,14
Servicios financieros y seguros,Cumplimiento parcial o defectuoso de la prestación del servicio,Socio-económica,jun-21,40,Masculino,Córdoba,14
Servicios públicos domiciliarios,Cumplimiento parcial o defectuoso de la prestación del servicio,Socio-económica,jun-21,33,Femenino,Salta,66
Alimentos y bebidas,Prácticas Abusivas,Violencia de género,jun-21,48,Femenino,San Luis,74
Equipos de telefonía,Garantía de Bienes. Art 11 Ley 24.240,Discapacidad,jun-21,55,Femenino,Santa Fe,82
Servicios de Salud,Demora excesiva para el cumplimiento  de prestaciones médicas,Salud,jun-21,22,Femenino,La Pampa,42
Servicios financieros y seguros,Problemas de fraude o estafa,Adulto/a mayor,jun-21,66,Femenino,Ciudad Autónoma de Buenos Aires,2
Servicios de Salud,Negativa o falta de cobertura total de la prestación comprometida,Salud,jun-21,22,Femenino,Santiago del Estero,86
Servicios financieros y seguros,Clausulas Abusivas - Art. 37 Ley 24.240,Socio-económica,jun-21,33,Femenino,Buenos Aires,6
Servicios públicos domiciliarios,Cumplimiento parcial o defectuoso de la prestación del servicio,NNyA,jun-21,35,Femenino,Ciudad Autónoma de Buenos Aires,2
Servicios de comunicaciones,Incumplimiento total de la prestación del servicio contratado,Adulto/a mayor,jun-21,75,Masculino,Río Negro,62
Servicios financieros y seguros,Cumplimiento parcial o defectuoso de la prestación del servicio,Adulto/a mayor,jun-21,65,Femenino,Tucumán,90
Servicios de comunicaciones,Cumplimiento parcial o defectuoso de la prestación del servicio,Salud,jun-21,64,Femenino,Santa Fe,82
Servicios de Salud,Demora excesiva para el cumplimiento  de prestaciones médicas,Salud,jun-21,35,Femenino,Río Negro,62
Servicios financieros y seguros,Problemas de fraude o estafa,Adulto/a mayor,jun-21,79,Femenino,Ciudad Autónoma de Buenos Aires,2
Servicios de Enseñanza,Falta de procesamiento de baja del servicio,Barrios populares,jun-21,60,Femenino,Ciudad Autónoma de Buenos Aires,2
Servicios de comunicaciones,Falta de Información relevante. Art 4 de la Ley 24.240,Adulto/a mayor,jun-21,62,Femenino,Ciudad Autónoma de Buenos Aires,2
Informática,Entrega Defectuosa,Turista,jun-21,22,Femenino,Ciudad Autónoma de Buenos Aires,2
Servicios financieros y seguros,Cumplimiento parcial o defectuoso de la prestación del servicio,Adulto/a mayor,jun-21,77,Femenino,Ciudad Autónoma de Buenos Aires,2
Servicios financieros y seguros,Cumplimiento parcial o defectuoso de la prestación del servicio,Adulto/a mayor,jun-21,68,Femenino,Santa Fe,82
Servicios financieros y seguros,Cumplimiento parcial o defectuoso de la prestación del servicio,Socio-económica,jun-21,35,Femenino,Santa Fe,82
Servicios financieros y seguros,Cumplimiento parcial o defectuoso de la prestación del servicio,Socio-económica,jun-21,28,Femenino,Entre Ríos,30
Servicios y eventos de esparcimiento culturales y/o deportivos,Clausulas Abusivas - Art. 37 Ley 24.240,NNyA,jun-21,47,Femenino,Río Negro,62
Relojería joyería y tabaquería,Falta de Entrega del bien,Adulto/a mayor,jun-21,67,Masculino,Ciudad Autónoma de Buenos Aires,2
Servicios públicos domiciliarios,Cumplimiento parcial o defectuoso de la prestación del servicio,Socio-económica,jun-21,32,Femenino,Ciudad Autónoma de Buenos Aires,2
Servicios financieros y seguros,Incumplimiento total de la prestación del servicio contratado,Socio-económica,jun-21,22,Femenino,San Juan,70
Servicios turísticos,Falta de Información relevante. Art 4 de la Ley 24.240,Turista,jun-21,55,Femenino,Córdoba,14
Servicios de comunicaciones,Cumplimiento parcial o defectuoso de la prestación del servicio,Adulto/a mayor,jun-21,29,Femenino,Ciudad Autónoma de Buenos Aires,2
Equipos de telefonía,Garantía de Bienes. Art 11 Ley 24.240,Adulto/a mayor,jun-21,85,Masculino,Ciudad Autónoma de Buenos Aires,2
Servicios de comunicaciones,Cumplimiento parcial o defectuoso de la prestación del servicio,Adulto/a mayor,jun-21,63,Femenino,Ciudad Autónoma de Buenos Aires,2
Servicio de administración de pagos,Incumplimiento total de la prestación del servicio contratado,Adulto/a mayor,jun-21,79,Femenino,Ciudad Autónoma de Buenos Aires,2
Servicio de administración de pagos,Prácticas Abusivas,LGTB+,jun-21,25,Femenino,Ciudad Autónoma de Buenos Aires,2
Servicios financieros y seguros,Clausulas Abusivas - Art. 37 Ley 24.240,Adulto/a mayor,jun-21,44,Masculino,Ciudad Autónoma de Buenos Aires,2
Rodados automotores y embarcaciones,Problemas Planes de Ahorro Previo para Fines Determinados,Discapacidad,jun-21,54,Femenino,Córdoba,14
Servicios financieros y seguros,Cumplimiento parcial o defectuoso de la prestación del servicio,Socio-económica,jun-21,23,Femenino,Santa Fe,82
Servicios de Enseñanza,Incumplimiento de Oferta Promociones y/o Bonificaciones. Art. 7 de la Ley 24.240,NNyA,jun-21,31,Femenino,Buenos Aires,6
Servicios de Salud,Negativa o falta de cobertura total de la prestación comprometida,Salud,jun-21,46,Femenino,Santa Fe,82
Servicios de comunicaciones,Cumplimiento parcial o defectuoso de la prestación del servicio,Adulto/a mayor,jun-21,90,Masculino,Santa Fe,82
Servicios públicos domiciliarios,Cumplimiento parcial o defectuoso de la prestación del servicio,Socio-económica,jun-21,39,Femenino,Buenos Aires,6
Equipos de telefonía,Publicidad engañosa,LGTB+,jun-21,25,Femenino,Buenos Aires,6
Servicios de comunicaciones,Cumplimiento parcial o defectuoso de la prestación del servicio,Adulto/a mayor,jun-21,38,Femenino,Ciudad Autónoma de Buenos Aires,2
Electrodomésticos y artefactos para el hogar,Garantía de Bienes. Art 11 Ley 24.240,Adulto/a mayor,jun-21,58,Femenino,Ciudad Autónoma de Buenos Aires,2
Servicios financieros y seguros,Cumplimiento parcial o defectuoso de la prestación del servicio,Discapacidad,jun-21,58,Masculino,Tucumán,90
Servicios públicos domiciliarios,Cumplimiento parcial o defectuoso de la prestación del servicio,Socio-económica,jun-21,62,Femenino,Ciudad Autónoma de Buenos Aires,2
Servicios públicos domiciliarios,Incumplimiento total de la prestación del servicio,Socio-económica,jun-21,31,Femenino,Ciudad Autónoma de Buenos Aires,2
Servicios turísticos,Incumplimiento total de la prestación del servicio contratado,NNyA,jun-21,52,Femenino,Ciudad Autónoma de Buenos Aires,2
Servicios públicos domiciliarios,Cumplimiento parcial o defectuoso de la prestación del servicio,NNyA,jun-21,61,Femenino,Ciudad Autónoma de Buenos Aires,2
Construcción y equipamiento del hogar,Problemas con la devolución del bien o el reembolso de sumas,Barrios populares,jun-21,21,Femenino,Buenos Aires,6
Servicios de comunicaciones,Cumplimiento parcial o defectuoso de la prestación del servicio,Adulto/a mayor,jun-21,71,Femenino,Ciudad Autónoma de Buenos Aires,2
Servicios públicos domiciliarios,Cumplimiento parcial o defectuoso de la prestación del servicio,Socio-económica,jun-21,44,Femenino,Salta,66
Servicios de comunicaciones,Cumplimiento parcial o defectuoso de la prestación del servicio,NNyA,jun-21,40,Femenino,Ciudad Autónoma de Buenos Aires,2
Servicios de comunicaciones,Incumplimiento total de la prestación del servicio contratado,Socio-económica,jun-21,33,Femenino,Ciudad Autónoma de Buenos Aires,2
Servicios de comunicaciones,Cumplimiento parcial o defectuoso de la prestación del servicio,Adulto/a mayor,jun-21,78,Femenino,Ciudad Autónoma de Buenos Aires,2
Servicios de comunicaciones,Cumplimiento parcial o defectuoso de la prestación del servicio,Adulto/a mayor,jun-21,54,Masculino,Ciudad Autónoma de Buenos Aires,2
Electrodomésticos y artefactos para el hogar,Garantía de Bienes. Art 11 Ley 24.240,Discapacidad,jun-21,47,Femenino,Tucumán,90
Servicios financieros y seguros,Cumplimiento parcial o defectuoso de la prestación del servicio,Adulto/a mayor,jun-21,62,Femenino,Jujuy,38
Servicios financieros y seguros,Falta de Información relevante. Art 4 de la Ley 24.240,Adulto/a mayor,jun-21,79,Masculino,Buenos Aires,6
Servicios financieros y seguros,Problemas de fraude o estafa,Discapacidad,jun-21,48,Masculino,Misiones,54
Servicios de comunicaciones,Falta de entrega o emisión del documento de contratación del servicio: presupuestos constancias de pagos solicitud de servicios reglamento general de prestaciones.,Adulto/a mayor,jun-21,46,Masculino,Buenos Aires,6
Servicios financieros y seguros,Cumplimiento parcial o defectuoso de la prestación del servicio,Socio-económica,jun-21,27,Femenino,Catamarca,10
Servicios financieros y seguros,Cumplimiento parcial o defectuoso de la prestación del servicio,Discapacidad,jun-21,30,Masculino,Río Negro,62
Servicios de comunicaciones,Cumplimiento parcial o defectuoso de la prestación del servicio,Violencia de género,jun-21,47,Femenino,Ciudad Autónoma de Buenos Aires,2
Servicios financieros y seguros,Cumplimiento parcial o defectuoso de la prestación del servicio,Adulto/a mayor,jun-21,64,Masculino,Santa Fe,82
Servicios públicos domiciliarios,Cumplimiento parcial o defectuoso de la prestación del servicio,Socio-económica,jun-21,34,Masculino,Ciudad Autónoma de Buenos Aires,2
Electrodomésticos y artefactos para el hogar,Garantía de Bienes. Art 11 Ley 24.240,Socio-económica,jun-21,63,Femenino,Ciudad Autónoma de Buenos Aires,2
Servicios públicos domiciliarios,Cumplimiento parcial o defectuoso de la prestación del servicio,Socio-económica,jun-21,44,Femenino,Ciudad Autónoma de Buenos Aires,2
Electrodomésticos y artefactos para el hogar,Garantía de Bienes. Art 11 Ley 24.240,Discapacidad,jun-21,47,Femenino,Tucumán,90
Servicios de Salud,Negativa o falta de cobertura total de la prestación comprometida,Salud,jun-21,40,Masculino,Santa Fe,82
Servicios de transporte fluvial o maritimo de pasajeros y cargas,Falta de procesamiento de baja del servicio,Adulto/a mayor,jun-21,47,Femenino,Córdoba,14
Servicios de Salud,Negativa o falta de cobertura total de la prestación comprometida,Salud,jun-21,44,Femenino,Santa Fe,82
Servicios de Salud,Cumplimiento parcial o defectuoso de la prestación médica o de cobertura de la medicación prescripta,Salud,jun-21,39,Femenino,Ciudad Autónoma de Buenos Aires,2
Servicios de comunicaciones,Incumplimiento total de la prestación del servicio contratado,NNyA,jun-21,28,Femenino,Santa Fe,82
Servicios financieros y seguros,Cumplimiento parcial o defectuoso de la prestación del servicio,Adulto/a mayor,jun-21,68,Masculino,Santa Fe,82
Servicios financieros y seguros,Cumplimiento parcial o defectuoso de la prestación del servicio,Socio-económica,jun-21,52,Femenino,Córdoba,14
Servicios turísticos,Incumplimiento total de la prestación del servicio contratado,NNyA,jun-21,63,Femenino,Ciudad Autónoma de Buenos Aires,2
Servicios de Salud,Negativa o falta de cobertura total de la prestación comprometida,NNyA,jun-21,31,Femenino,Córdoba,14
Relojería joyería y tabaquería,Falta de Entrega del bien,Socio-económica,jun-21,39,Femenino,Río Negro,62
Servicios de Salud,Clausulas Abusivas - Art. 37 Ley 24.240,Salud,jun-21,29,Femenino,Salta,66
Rodados automotores y embarcaciones,Problemas Planes de Ahorro Previo para Fines Determinados,Socio-económica,jun-21,59,Femenino,Ciudad Autónoma de Buenos Aires,2
Servicios de comunicaciones,Incumplimiento total de la prestación del servicio contratado,NNyA,jun-21,48,Femenino,Ciudad Autónoma de Buenos Aires,2
Alimentos y bebidas,Incumplimiento de Oferta Promociones y/o Bonificaciones. Art. 7 de la Ley 24.240,Adulto/a mayor,jun-21,66,Masculino,Córdoba,14
Servicios públicos domiciliarios,Incumplimiento total de la prestación del servicio,Socio-económica,jun-21,33,Femenino,Santiago del Estero,86
Colchonerías,Garantía de Bienes. Art 11 Ley 24.240,Adulto/a mayor,jun-21,66,Masculino,Buenos Aires,6
Servicios de comunicaciones,Cumplimiento parcial o defectuoso de la prestación del servicio,Adulto/a mayor,jun-21,53,Masculino,Ciudad Autónoma de Buenos Aires,2
Servicios de transporte aéreo,Cancelación o supresión de vuelos,Socio-económica,jun-21,36,Femenino,Río Negro,62
Servicios de Salud,Negativa o falta de cobertura total de la prestación comprometida,Salud,jun-21,49,Femenino,Santa Fe,82
Servicios financieros y seguros,Cumplimiento parcial o defectuoso de la prestación del servicio,Adulto/a mayor,jun-21,72,Femenino,Ciudad Autónoma de Buenos Aires,2
Servicios financieros y seguros,Cumplimiento parcial o defectuoso de la prestación del servicio,Socio-económica,jun-21,65,Femenino,Santa Fe,82
Servicio de administración de pagos,Incumplimiento total de la prestación del servicio contratado,Adulto/a mayor,jun-21,38,Masculino,Córdoba,14
Servicios públicos domiciliarios,Cumplimiento parcial o defectuoso de la prestación del servicio,Adulto/a mayor,jun-21,73,Femenino,Ciudad Autónoma de Buenos Aires,2
Servicios de comunicaciones,Cumplimiento parcial o defectuoso de la prestación del servicio,Adulto/a mayor,jun-21,78,Masculino,Córdoba,14
Servicios financieros y seguros,Cumplimiento parcial o defectuoso de la prestación del servicio,Adulto/a mayor,jun-21,59,Femenino,Buenos Aires,6
Servicios públicos domiciliarios,Cumplimiento parcial o defectuoso de la prestación del servicio,Socio-económica,jun-21,30,Femenino,Ciudad Autónoma de Buenos Aires,2
Servicios de comunicaciones,Precios,Discapacidad,jun-21,56,Masculino,Ciudad Autónoma de Buenos Aires,2
Servicios de Enseñanza,Incumplimiento total de la prestación del servicio de enseñanza,Socio-económica,jun-21,52,Femenino,Santa Cruz,78
Servicios financieros y seguros,Pago o Cobro Equivocado,Barrios populares,jun-21,42,Masculino,Buenos Aires,6
Servicios financieros y seguros,Incumplimiento total de la prestación del servicio contratado,Adulto/a mayor,jun-21,57,Femenino,Santa Fe,82
Servicios financieros y seguros,Cumplimiento parcial o defectuoso de la prestación del servicio,Socio-económica,jun-21,38,Femenino,San Luis,74
Servicios financieros y seguros,Problemas de fraude o estafa,Socio-económica,jun-21,35,Masculino,Santa Fe,82
Servicios financieros y seguros,Cumplimiento parcial o defectuoso de la prestación del servicio,Discapacidad,jun-21,58,Femenino,Santa Fe,82
Servicios financieros y seguros,Incumplimiento total de la prestación del servicio contratado,Adulto/a mayor,jun-21,70,Femenino,Salta,66
Servicios financieros y seguros,Problemas de fraude o estafa,Adulto/a mayor,jun-21,69,Femenino,Santa Fe,82
Servicios financieros y seguros,Cumplimiento parcial o defectuoso de la prestación del servicio,Adulto/a mayor,jun-21,44,Femenino,Ciudad Autónoma de Buenos Aires,2
Servicios de construcción para el hogar y comercialización de inmuebles,Cumplimiento parcial o defectuoso de la prestación del servicio,Turista,jun-21,41,Masculino,Ciudad Autónoma de Buenos Aires,2
Servicios de comunicaciones,Cumplimiento parcial o defectuoso de la prestación del servicio,Adulto/a mayor,jun-21,88,Femenino,Buenos Aires,6
Servicios financieros y seguros,Incumplimiento total de la prestación del servicio contratado,Adulto/a mayor,jun-21,73,Masculino,Ciudad Autónoma de Buenos Aires,2
Servicios de comunicaciones,Incumplimiento total de la prestación del servicio contratado,Discapacidad,jun-21,73,Femenino,Ciudad Autónoma de Buenos Aires,2
Servicios de comunicaciones,Incumplimiento total de la prestación del servicio contratado,Socio-económica,jun-21,32,Masculino,Ciudad Autónoma de Buenos Aires,2
Servicios financieros y seguros,Problemas de fraude o estafa,Adulto/a mayor,jun-21,81,Masculino,Ciudad Autónoma de Buenos Aires,2
Farmacia y productos para la salud,Problemas con la devolución del bien o el reembolso de sumas,Salud,jun-21,48,Femenino,Ciudad Autónoma de Buenos Aires,2
Servicios de Salud,Negativa o falta de cobertura total de la prestación comprometida,Salud,jun-21,28,Femenino,Ciudad Autónoma de Buenos Aires,2
Servicios financieros y seguros,Cumplimiento parcial o defectuoso de la prestación del servicio,Socio-económica,jun-21,62,Femenino,Tucumán,90
Servicios de comunicaciones,Cumplimiento parcial o defectuoso de la prestación del servicio,Discapacidad,jun-21,61,Femenino,Ciudad Autónoma de Buenos Aires,2
Servicios de comunicaciones,Cumplimiento parcial o defectuoso de la prestación del servicio,Discapacidad,jun-21,61,Femenino,Ciudad Autónoma de Buenos Aires,2
Servicios de Salud,Cumplimiento parcial o defectuoso de la prestación médica o de cobertura de la medicación prescripta,Salud,jun-21,60,Femenino,Ciudad Autónoma de Buenos Aires,2
Servicios de Salud,Negativa o falta de cobertura total de la prestación comprometida,Salud,jun-21,50,Masculino,Chubut,26
Servicios financieros y seguros,Cumplimiento parcial o defectuoso de la prestación del servicio,Adulto/a mayor,jun-21,65,Femenino,Ciudad Autónoma de Buenos Aires,2
Servicios públicos domiciliarios,Cumplimiento parcial o defectuoso de la prestación del servicio,NNyA,jun-21,48,Femenino,Santa Fe,82
Servicios de comunicaciones,Cumplimiento parcial o defectuoso de la prestación del servicio,NNyA,jun-21,41,Femenino,Buenos Aires,6
Informática,Garantía de Bienes. Art 11 Ley 24.240,NNyA,jun-21,54,Femenino,Buenos Aires,6
Servicios de comunicaciones,Cumplimiento parcial o defectuoso de la prestación del servicio,Adulto/a mayor,jun-21,87,Femenino,Ciudad Autónoma de Buenos Aires,2
